Date&Time,TEMP,HUMI,CO2,STEMP,SWAT,SEC,PPF
2023-09-16 0:00:00,26.7,80,463,23.8,0,0,0
2023-09-16 1:00:00,26.2,79,477,23.5,0,0,0
2023-09-16 2:00:00,26.3,80,478,23.7,0,0,0
2023-09-16 3:00:00,26.3,80,486,23.6,0,0,0
2023-09-16 4:00:00,26.3,80,465,23.7,0,0,0
2023-09-16 5:00:00,26.1,80,451,23.5,0,0,0
2023-09-16 6:00:00,26.3,81,441,23.7,0,0,0
2023-09-16 7:00:00,26.9,81,419,24.6,0,0,3
2023-09-16 8:00:00,27.3,78,417,24.8,0,0,0
2023-09-16 9:00:00,28.1,78,411,26.3,0,0,188
2023-09-16 10:00:00,33.5,58,405,33.5,0,0,733
2023-09-16 11:00:00,33.3,59,410,30.7,0,0,188
2023-09-16 12:00:00,32,66,416,28.1,0,0,19
2023-09-16 13:00:00,30.6,72,430,28,0,0,24
2023-09-16 14:00:00,30.1,74,419,27,0,0,14
2023-09-16 15:00:00,29.4,76,431,26.8,0,0,2
2023-09-16 16:00:00,28.8,77,438,25.9,0,0,0
2023-09-16 17:00:00,27.8,74,422,24.5,0,0,0
2023-09-16 18:00:00,27.7,77,424,24.9,0,0,0
2023-09-16 19:00:00,27,78,432,24.4,0,0,0
2023-09-16 20:00:00,26.9,79,445,24.2,0,0,0
2023-09-16 21:00:00,26.8,79,446,24.1,0,0,0
2023-09-16 22:00:00,26.8,80,456,24.1,0,0,0
2023-09-16 23:00:00,26.8,80,466,24.2,0,0,0
2023-09-17 0:00:00,26.8,80,465,24,0,0,0
2023-09-17 1:00:00,26.7,80,461,24,0,0,0
2023-09-17 2:00:00,26.5,80,472,23.8,0,0,0
2023-09-17 3:00:00,26.4,80,462,23.7,0,0,0
2023-09-17 4:00:00,26.2,80,462,23.5,0,0,0
2023-09-17 5:00:00,26.2,80,469,23.6,0,0,0
2023-09-17 6:00:00,26,80,478,23.2,0,0,0
2023-09-17 7:00:00,26,80,493,23.5,0,0,9
2023-09-17 8:00:00,27.4,78,453,25.5,0,0,60
2023-09-17 9:00:00,29.6,69,436,27.6,0,0,138
2023-09-17 10:00:00,31.7,61,413,29.8,0,0,198
2023-09-17 11:00:00,31.2,63,418,28.9,0,0,89
2023-09-17 12:00:00,32.5,58,419,30.1,0,0,94
2023-09-17 13:00:00,32.5,58,411,29.8,0,0,85
2023-09-17 14:00:00,33,57,401,30.5,0,0,97
2023-09-17 15:00:00,33.3,56,404,30.1,0,0,64
2023-09-17 16:00:00,32.8,57,400,29.7,0,0,33
2023-09-17 17:00:00,30.5,65,409,27,0,0,6
2023-09-17 18:00:00,29.8,70,421,26.9,0,0,9
2023-09-17 19:00:00,28,73,424,24.9,0,0,0
2023-09-17 20:00:00,27.1,76,440,24.4,0,0,0
2023-09-17 21:00:00,27.2,77,419,24.5,0,0,0
2023-09-17 22:00:00,27.1,78,444,24.4,0,0,0
2023-09-17 23:00:00,27,79,442,24.2,0,0,0
2023-09-18 0:00:00,27,79,435,24.3,0,0,0
2023-09-18 1:00:00,26.9,79,433,24.2,0,0,0
2023-09-18 2:00:00,26.8,79,447,24,0,0,0
2023-09-18 3:00:00,26.1,79,458,23.4,0,0,0
2023-09-18 4:00:00,25.3,79,475,22.7,0,0,0
2023-09-18 5:00:00,25.1,79,479,22.5,0,0,0
2023-09-18 6:00:00,25.5,80,484,22.9,0,0,0
2023-09-18 7:00:00,26.1,80,474,24,0,0,54
2023-09-18 8:00:00,27.7,75,447,25.7,0,0,136
2023-09-18 9:00:00,31.5,62,436,30.9,0,0,855
2023-09-18 10:00:00,36.2,44,422,35.1,0,0,793
2023-09-18 11:00:00,34.7,50,422,31.9,0,0,378
2023-09-18 12:00:00,39,38,418,37.7,0,0,1351
2023-09-18 13:00:00,40.9,34,420,36.6,0,0,1224
2023-09-18 14:00:00,36.6,42,420,34,0,0,208
2023-09-18 15:00:00,35.5,44,415,32.2,0,0,45
2023-09-18 16:00:00,34.7,46,416,31.2,0,0,94
2023-09-18 17:00:00,32.6,51,417,29.6,0,0,31
2023-09-18 18:00:00,30.9,59,419,27.7,0,0,0
2023-09-18 19:00:00,29.4,66,415,26.4,0,0,0
2023-09-18 20:00:00,28.7,70,447,25.5,0,0,0
2023-09-18 21:00:00,27.8,73,456,24.9,0,0,0
2023-09-18 22:00:00,27.3,75,463,24.6,0,0,0
2023-09-18 23:00:00,27.1,75,463,24.3,0,0,0
2023-09-19 0:00:00,26.9,76,464,24.1,0,0,0
2023-09-19 1:00:00,26.8,77,459,24.1,0,0,0
2023-09-19 2:00:00,26.8,78,468,24.2,0,0,0
2023-09-19 3:00:00,26.5,77,472,23.8,0,0,0
2023-09-19 4:00:00,25.7,76,458,22.8,0,0,0
2023-09-19 5:00:00,25.1,78,462,22.5,0,0,0
